"exp" "geneID"
"7327" 13.4382742874861 "MPC2"
"20349" 13.4346860955646 "RPL10L"
"30009" 13.4278853936409 "UQCRQ"
"35654" 13.4218946746201 "RPL7"
"14691" 13.417854564288 "ENST00000431702"
"10656" 13.4145551689216 "NDUFA12"
"23825" 13.4041299052747 "CCDC9"
"34512" 13.4009863086898 "HMGB1"
"37702" 13.4009863086898 "RPSAP9"
"5055" 13.3984276795973 "UBA1"
"44331" 13.3984276795973 "NUAK1"
"49806" 13.3922300533158 "RPL27"
"2106" 13.38411610108 "ZFP36L1"
"10546" 13.3827386919188 "SNRPD1"
"13653" 13.3785614652906 "NDUFA4"
"15733" 13.3721837721618 "U2AF2"
"17209" 13.3640748833712 "HIST1H4F"
"31332" 13.3611920207234 "LYPLA2"
"11082" 13.3581365572573 "GOT2"
"54159" 13.3551205042433 "EIF3A"
"6251" 13.3507818662507 "SRGAP2"
"47706" 13.3486249327904 "TCF4"
"14630" 13.3445523629649 "EIF3I"
"46327" 13.3418452523151 "ATP6V0E1"
"20172" 13.3380056091816 "RBM39"
"49585" 13.3380056091816 "DUX4"
"34325" 13.3353260567281 "CNBP"
"33613" 13.3314690006342 "HIST1H2BC"
"8372" 13.3295249197573 "MANF"
"28589" 13.3272239870342 "RPS10"
"12430" 13.3168813612211 "TNRC18"
"42200" 13.3168813612211 "ENST00000440335"
"45392" 13.3114768583347 "KIF1A"
"19998" 13.3091503211536 "PTMA"
"8150" 13.2995509753252 "RPL21"
"3573" 13.2962424756675 "DYNC1H1"
"2375" 13.2924882123997 "ENST00000567299"
"15182" 13.2769747745419 "lnc-C9orf103-1"
"17099" 13.2738915042943 "CLTA"
"42230" 13.2707425459701 "DMPK"
"39407" 13.2636557348038 "RPS27A"
"12629" 13.2550589733167 "RAB6C"
"42457" 13.251600942951 "ENST00000456044"
"32844" 13.2477320679773 "CUEDC2"
"8644" 13.2415031818298 "FEZ1"
"38021" 13.2393238068454 "SOD2"
"38249" 13.2371553647098 "EGR1"
"16539" 13.2349872212422 "STOX2"
"45226" 13.2290213868873 "MED25"
"20773" 13.2270989299963 "HIST1H3C"
"35157" 13.2236377843215 "RPL22L1"
"33648" 13.2208125052839 "ALDH1L1"
